Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
TE,Richard Rodgers (13040948),Richard Rodgers,13040948,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,0.19
TE,Joshua Perkins (13040953),Joshua Perkins,13040953,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,PHI,1.3
TE,J.P. Holtz (13041033),J.P. Holtz,13041033,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
TE,Jeremy Sprinkle (13041043),Jeremy Sprinkle,13041043,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.94
TE,Matt Flanagan (13041222),Matt Flanagan,13041222,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0.8
TE,Donald Parham Jr. (13041626),Donald Parham Jr.,13041626,TE/FLEX,2500,WAS@PHI 09/08/2019 01:00PM ET,WAS,0
TE,Virgil Green (13040627),Virgil Green,13040627,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,LAC,2.99
TE,Gabe Holmes (13040747),Gabe Holmes,13040747,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,IND,0
TE,Ross Travis (13040890),Ross Travis,13040890,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,IND,0
TE,Sean Culkin (13041011),Sean Culkin,13041011,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,LAC,0.24
TE,Mo Alie-Cox (13041121),Mo Alie-Cox,13041121,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,IND,2.94
TE,Vince Mayle (13041267),Vince Mayle,13041267,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,LAC,0
TE,Andrew Vollert (13041291),Andrew Vollert,13041291,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,LAC,0
TE,Matt Sokol (13041391),Matt Sokol,13041391,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,LAC,0
TE,Hale Hentges (13041710),Hale Hentges,13041710,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,IND,0
TE,Billy Brown (13041841),Billy Brown,13041841,TE/FLEX,2500,IND@LAC 09/08/2019 04:05PM ET,IND,0
TE,Clark Harris (13040601),Clark Harris,13040601,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0
TE,Ed Dickson (13040618),Ed Dickson,13040618,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,SEA,4.86
TE,Tyler Ott (13040802),Tyler Ott,13040802,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,SEA,0
TE,Mason Schreck (13041051),Mason Schreck,13041051,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0
TE,Jacob Hollister (13041089),Jacob Hollister,13041089,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,SEA,1.15
TE,Tyrone Swoopes (13041132),Tyrone Swoopes,13041132,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,SEA,3.3
TE,Cethan Carter (13041140),Cethan Carter,13041140,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0
TE,Drew Sample (13041527),Drew Sample,13041527,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0
TE,Jordan Franks (13041535),Jordan Franks,13041535,TE/FLEX,2500,CIN@SEA 09/08/2019 04:05PM ET,CIN,0.95
